62,2023/10/05 2:08:25 p. m. GMT-5,Chontaduro,Femenino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Buen color ,Textura seca ,Súper color naranja brillante ,No me gusta ,No me gusta ,No me gusta ,No me gusta ,No me gusta ,Que sea un lugar medianamente limpio 
63,2023/10/05 2:08:55 p. m. GMT-5,Chontaduro,Masculino,Muy importante,Muy importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Un olor muy seco  y su forma diferente,Muy diferente   a las frutas que conozco,Su intensidad es muy fuerte,No cambia mucho,Muy seca,No me es tan apetecible,No muy agradable,Me deja seca la boca,Con miel
64,2023/10/05 2:10:01 p. m. GMT-5,Chontaduro,Femenino,Moderadamente importante,Moderadamente importante,Muy importante,Moderadamente importante,Nada importante,Nada importante,Nada importante,Nada importante,buen color,Duro,Brillante aunque no me da buenas sensaciones ,Siento como si oliera salsas ,Fibrosa ,"Horrible, amargo, deja sensación de malestar en la boca, no lo recomiendo, asqueroso",La plazoleta de la facultad de ciencias ,Malestar general,No adquirirlo
65,2023/10/05 2:10:15 p. m. GMT-5,Chontaduro,Femenino,Importante,Importante,Nada importante,Importante,Poco importante,Poco importante,Moderadamente importante,Nada importante,Brillante,"Seca, amarga y son sabor",Me causa curiosidad verlo pero ,"No me gusta su olor, no me atrae","Es una textura fibrosa y seca, no me provoca ningún gusto","Amargo, me seca la boca ",No he tenido ninguna experiencia así ,No me gustó ,El brillo y la firmeza
66,2023/10/05 2:12:55 p. m. GMT-5,Chontaduro,Masculino,Importante,Importante,Moderadamente importante,Importante,Poco importante,Importante,Importante,Moderadamente importante,Tiene buena apariencia y color agradable ,Es como tipo mango ,Tiene un color naranja intenso ,El aroma a mi percepción no es muy agradable ,El fruto es seco y arenoso tampoco lo había probado antes y me esperaba algo más dulce.,No me gusta y por lo seco da sed .,Por el olor me recordó a un perrito mojado,Desagradable ,No creo q lo compre pero sería el color
67,2023/10/05 2:19:47 p. m. GMT-5,Chontaduro,Masculino,Muy importante,Importante,Poco importante,Poco importante,Moderadamente importante,Moderadamente importante,Importante,Poco importante,Buena,Buena,No aplica ,Madera,"Suave, harinosa","Astringente, seco, dulce",La plaza ,Agrado,Color
68,2023/10/05 2:20:12 p. m. GMT-5,Chontaduro,Femenino,Moderadamente importante,Importante,Poco importante,Muy importante,Moderadamente importante,Importante,Importante,Poco importante,"Es duro, color como anaranjado o marrón y el tamaño es pequeño","Es como arenoso, como con fibras o pelos y es consistente ","Es un poco opaco aunque se nota un poco de brillo, el color es anaranjado aunque a veces es más rojizo ","Pues el olor no es muy característico, aunque si percibo mucho pero ya en el comestible ","Es liso, un poco brillante y duro","Es arenoso, un sabor difícil de describir pero agradable a mi parecer ","Pues ya la conocía y me recuerda un poco a Cali, en cuanto a una dura no se me hace parecido a ninguna, por sus consistencia y que es seco y arenoso ","Es muy rico, con sal mejor mucho el sabor, es pequeño, duro y arenoso","Que tenga buen color como rojo o amarillo, si ya está procesado que sea de un solo tono como naranja"
69,2023/10/05 2:20:22 p. m. GMT-5,Chontaduro,Masculino,Nada importante,Nada importante,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Es dura la cubierta,Es naranja con muchas fibras,"Es un naranja intenso, no tiene brillo, no es antojable",Es fuerte tirando a amargo,Es grumosa con muchas fibras,Es amargo e insipido,No me ha gustado,No es petecible,Tiene buena textura y firmeza pero no es agradable al gusto
70,2023/10/05 2:21:15 p. m. GMT-5,Chontaduro,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Muy importante,Nada importante,Colorida,Bien cocida,De buen color,Poco olor,Delicioso,Movimiento hormonal,Poder,Placer,Madurez
71,2023/10/05 2:21:38 p. m. GMT-5,Chontaduro,Masculino,Importante,Importante,Importante,Importante,Poco importante,Importante,Importante,Importante,No parece madurez óptima ,"Bien, arenoso ","Poco brillo, color opaco ",Semillas ,Provoca comerlo en una sopa,"Da la sensación de algo por descubrir, es raro para mi","Selva, Putumayo ",Descubrir ,Nunca compro 
72,2023/10/05 2:24:34 p. m. GMT-5,Chontaduro,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Poco importante,"Se ve bien, sin problemas",Se parece a un zapote pero más pequeño. Tiene buen color,Tiene un color intenso medio y no tiene tanto brillo,No me.gusta,Liso,No lo prove,De las pocas fritas que no me gustan,Vomito,No lo compro
73,2023/10/05 2:27:40 p. m. GMT-5,Chontaduro,Masculino,Nada importante,Importante,Poco importante,Importante,Poco importante,Poco importante,Importante,Poco importante,La apariencia externa se ve normal,Se ve normal,"El color no es intenso y no tiene brillo, es más bien opaco ",El aroma es el usual al de los mercados ,"Es liso, ninguna sensación ","El sabor no tiene nada en especial, es normal ",Ninguna ,Ninguna,El estado de la cáscara y la firmeza del fruto
74,2023/10/05 2:31:00 p. m. GMT-5,Chontaduro,Femenino,Muy importante,Muy importante,Importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,"Firme, maduro en estado óptimo de consumo ",Fresco y seco ,"Intenso, brillo provoca consumirlo ",Madera,"Insípido, desagradable ",Desagradable ,Ninguno ,"Poco llamativo, sabor insípido ",Tamaño y estado del fruto 
75,2023/10/05 2:35:30 p. m. GMT-5,Chontaduro,Femenino,Muy importante,Muy importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Poco importante,Rojo bonito,Consistente ,Esta bien brillante,Como fruto seco,Como arenosa,Aabe a fruto seco,Las frutas del monte ,Nada en realidad,Que esté bonita
76,2023/10/05 2:39:17 p. m. GMT-5,Chontaduro,Femenino,Muy importante,Moderadamente importante,Moderadamente importante,Poco importante,Importante,Muy importante,Moderadamente importante,Nada importante,Buen color,"Buena consistencia, color y textura ", A pesar de tener brillo se observan lesiones en la cascara,Olor similar a papa,Textura firme y dura. ,No me gusto,Con sal similar a comer papá cocida,"No es algo que compraría, no me agradó su sabor. ",No la compraría 
77,2023/10/05 2:40:07 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Importante,Moderadamente importante,Color fuerte y parejo ,Color disparejo y pelitos blancos,Brill bueno color intenso y parejo ,Difícil de describir ácido o amargo ,Es muy masticable las fibras lo hacen chévere de masticar ,Suabe similar a la calabaza o ahuyama ,Ninguna no se asemaja a ninguna experiencia ,Buena ,Frescor 
78,2023/10/05 2:40:16 p. m. GMT-5,Chontaduro,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Se ve bastante gustoso y fresco,Se ve seco y poco jugoso,Es poco brilloso y la intensidad del color es muy poca,Es como de un fruto seco,"La textura es un poco arenosa, y me provoca sequedad en la boca ",Sabe como a un fruto seco o una papa ,Me recuerda viajes al Valle del Cauca ,"No me genera mucho agrado, sin embargo, lo comería si me lo ofrecen",Que se vea lo menos magullado posible
79,2023/10/05 2:42:24 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,Roja y dura ,Anaranjado ,Opaca,Huele amargo ,Seca ,Raro pero rico como si estuviera comiendo tela,Ningúno ,Es raro pero rico ,Nunca he comprado 
80,2023/10/05 5:45:52 p. m. GMT-5,Chontaduro,Femenino,Muy importante,Muy importante,Importante,Moderadamente importante,Importante,Importante,Importante,Moderadamente importante,Madurez ,Ciertamente maduro ,Café opaco y me dan ganas de deborarlo,Madera y me transmite tranquilidad ,Duro y me genera mucho placer ,Salado y me encanta ,A mi niñez ,Alegría ,"El peso, el tamaño y el precio "
81,2023/10/05 1:38:58 p. m. GMT-5,Mamoncillo,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,"Fruto pequeño, color opaco","Color opaco, textura corrugosa ",Opaco,"Aroma intenso, no me gusta el olor","Corrugosa, bien me gusta",Sin sabor,Ninguno,Desagradable ,"Ninguno, no me gusta este fruto "
82,2023/10/05 1:48:54 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,"Verde brillante, con algunos negros","Fresco, con buena pulpa","Brillante, aunque algo desperfecto, aún así, me gusta","Es muy leve, pero me gusta, es suave","Cáscara áspera, dura","Muy ricas, están muy frescas","El colegio, momentos bonitos",Me gusta,El color y la textura
83,2023/10/05 1:49:22 p. m. GMT-5,Mamoncillo,Femenino,Poco importante,Moderadamente importante,Poco importante,Poco importante,Muy importante,Muy importante,Importante,Moderadamente importante,Blandito con cáscara dura y textura rugosa ,Humedad alta carnosa con semilla grande,Biñrillo medio color verde jade,Sin olor ,"Fruto carnoso,muy rico ",El sabor es dulce y me provoca comer más ,La niñez cuando había cosecha y era muy barato ,Provoca comer más ,"Tamaño,madures y precio "
84,2023/10/05 1:49:40 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Moderadamente importante,Se ve bien,Se ve seco,Color apagado,Huele bien ,Normal,Ni bien ni mal,Ninguno,Normalita ,No lo compro 
85,2023/10/05 1:49:42 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante, Rugoso ,  Verde con café , Media ,   A planta , Rugosa, Dulce , Un día lindo ,  Placer, Color firmeza
86,2023/10/05 1:51:53 p. m. GMT-5,Mamoncillo,Femenino,Muy importante,Importante,Muy importante,Muy importante,Importante,Muy importante,Importante,Poco importante,Firme pero con manchas ,Delicioso. Perfecto,Fea,Delicioso fresco,Frescura y dulce,.,Mi abuela me daba mamoncillos cuando era niña,Algo diferente a mi dieta adulta,Temporada. Madurez 
87,2023/10/05 1:52:23 p. m. GMT-5,Mamoncillo,Masculino,Poco importante,Muy importante,Poco importante,Muy importante,Importante,Muy importante,Moderadamente importante,Poco importante,"Descolorido, un poco des uniforme. Variabilidad en tamaño ",Un poco des uniforme ,"Pálido, me genera sensación extraña de poco conocido ","Intenso, dulce. Me recuerda la niñez y los sabores a dulcera ","Blanda, me provoca suavidad, ternura ",Un poco de ansiedad y ganas de consumir más ,"A mi tierra, las plazas de mercado, al pueblo ",A cultura ,Oportunidad de encontrarlo 
88,2023/10/05 1:53:55 p. m. GMT-5,Mamoncillo,Femenino,Poco importante,Poco importante,Nada importante,Importante,Poco importante,Poco importante,Moderadamente importante,Poco importante,"Textura Rugosos, color no uniforme tamaño variado, parches negros ","Suave , baboso, dulce , con un sensación ácida ",Opaca me recuerda a la aceitunas ,Arbustivo ,Lisa  peculiar ,"Sabor simple , con sensación viscoso",Ninguno ,Que al comerla es como el durazno  no sabes que hacer con la semilla jejeje,Color y que no estén tan blandos 
89,2023/10/05 1:57:11 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Importante,Lindo ,Aún más lindo ,No es muy brillante ,No huele a nada ,Rico me gusta ,Ganas de comer más ,Ninguno ,Me gusta ,Nivel de madurez y color de la cáscara 
90,2023/10/05 1:57:29 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Se ve un poco maltratado ,Es interesante a la vista ,Es opaca,No tiene ,Es musilaginosa es agradable al paladar ,Es dulce y jugosa,,Es deliciosa ,
91,2023/10/05 1:57:32 p. m. GMT-5,Mamoncillo,Femenino,Moderadamente importante,Muy importante,Poco importante,Muy importante,Muy importante,Moderadamente importante,Muy importante,Moderadamente importante,"Se ven enfermos, muchas manchas marrones","Pulpa blanca, jugoza y sana ",Opaco con muchas afectaciones ,Inholoro ,Baboso pero con sabor ,"Dulce ácido, me gusta",De pequeño comía bastante por una tía ,"Me gusta, es suave pero difícil de comer ",La cantidad y que se vean verde sano 
92,2023/10/05 1:57:51 p. m. GMT-5,Mamoncillo,Masculino,Moderadamente importante,Muy importante,Importante,Muy importante,Importante,Importante,Moderadamente importante,Nada importante,"de color verde intenso, algunas manchitas cafés oscuras y de textura con pepitas","es de color naranja opaco, se ve húmedos pero de una textura suave","verde muy intenso, llamativo y brillante aunque no refleja la luz ","fuerte, frutal, dulce, agradable ","externa firme, interna compacta pero blanda","sabor muy dulce y agradable, en un rato se acaba ","a mí infancia, solía comer mucho mamoncillo con mis familiares contemporáneos","mucho antojo, se me muy delicioso","la cantidad, el precio y el aspecto externo del frito"
93,2023/10/05 2:01:09 p. m. GMT-5,Mamoncillo,Masculino,Importante,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,Agradable ,Apetecible ,Poco brillosa,Planta ,"Rugosa, agradable","Ácido, feliz ",Infancia ,Felicidad ,El tamaño del fruto
94,2023/10/05 2:01:29 p. m. GMT-5,Mamoncillo,Masculino,Muy importante,Importante,Moderadamente importante,Moderadamente importante,Poco importante,Importante,Muy importante,Poco importante,Buena,Agradable ,Opaco en la cascara,Frescura ,Baboso y liso,Ganas de seguir comiendo,La infancia,Satisfacción ,Que no tenga pepas y que sea barato
95,2023/10/05 2:02:01 p. m. GMT-5,Mamoncillo,Femenino,Importante,Muy importante,Nada importante,Importante,Poco importante,Importante,Poco importante,Moderadamente importante,Muy bien ,Muy bien ,"No tiene brillo, me da curiosidad ",Un olor muy rico me da ganas de comer ,Es como babosa pero atractiva ,Como dulce tirando a ácido ,De pequeño por que comía mucho ,Que ricoooo,La cantidad del racimo 
96,2023/10/05 2:02:52 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Nada importante,Importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,Parece un limón ,Parece una uva,Curiosidad,No tengo sentido del olfato ,Como un mango ,Es dulce ,Me recuerda a una mandarina,Buena,
97,2023/10/05 2:03:40 p. m. GMT-5,Mamoncillo,Femenino,Importante,Moderadamente importante,Muy importante,Moderadamente importante,Nada importante,Moderadamente importante,Muy importante,Nada importante,Grande y buen estado,En buen estado y no se observan magullada ,El color es rosado intenso verde intenso y café pálido, olía fresco,Estimulación,El sabor es dulce también fue ácido salado,Me recuerda comiendo con mi familia un domingo en la tarde,Sensación de felicidad,El precio y la apariencia
98,2023/10/05 2:04:46 p. m. GMT-5,Mamoncillo,Femenino,Moderadamente importante,Moderadamente importante,Poco importante,Importante,Poco importante,Moderadamente importante,Moderadamente importante,Importante,"Luce bien, verde opaco, no se ve tan fresco",Esta rico,"Opaco, natural",No le detecto olor,Seco pero no insípido,Dulce,La bolsita de dos mil que venden n por ahí ,,"Calidad, precio"
99,2023/10/05 2:06:23 p. m. GMT-5,Mamoncillo,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,"Es pequeño y verde con manchas, esta en buen estado",Es muy aguado e inconsistente,Es verde y poco brilloso. Es muy opaco,Huele a acido,Es muy acdo ,"Es rico, dulce pero seco",Como si me estuviera comiendo un bicho,Rico,Que sea grande y un poco mas brilloso
100,2023/10/05 2:06:55 p. m. GMT-5,Mamoncillo,Masculino,Moderadamente importante,Muy importante,Moderadamente importante,Muy importante,Muy importante,Importante,Muy importante,Nada importante,"Se ve un poco seco por fuera, tienen manchas cafe oscuro que para quien no conozca pensará que no es apto par come, pero sí. La cascara es firme y protege lo suficiente la pulpa","Delicioso, aunque es un poco difícil desprender la pulpa de la semilla, tal vez sea falta de algun Nutriente mientras la producción o no sé, pero está delicioso ","Brillo no tiene, pero el color es normal",Al oler solo me dan ganas de comer jaja ,Ninguna,"Me recuerda a mi pueblito, cuando estaba en el colegio y a la salida compraba 2mil de mamoncillo y me iba comiendo a la casa ",Me da ganas de irme a vivir a tierra caliente ,Felicidad,"Que sea grande, que no esté rajado, y que no sea tan caro "
101,2023/10/05 2:08:25 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Importante,Importante,Poco importante,Muy importante,Muy importante,Importante,Que sea de colores frescos ,Que sea de textura carnada y más bien dura,Que sea de colores frescos ,Disfruta el aroma,Que sea un poco dura,Que sea dulce ,El campo ,Saborearlo,Que sea de colores frescos 
102,2023/10/05 2:08:55 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,El fruto está en muy buen estado muy buen color ,"Una pepa rodeada de un ""mermelada"", buen color ",El brillo color verde muy buena ,Me gusta ,Me gusta ,Me gusta ,Una vez que casi me ahogo con una pepa ,Me gusta ,Que sea un lugar medianamente limpio y que la fruta esté en buen estado 
103,2023/10/05 2:10:01 p. m. GMT-5,Mamoncillo,Femenino,Importante,Moderadamente importante,Moderadamente importante,Importante,Importante,Importante,Muy importante,Muy importante,Muy chiquito,Poca carne,Un color muy suave,Ninguna,Muy aderida a la semilla,Muy rico,Comer muchos,Muy chiquita visualmente,Que vengan muchas
104,2023/10/05 2:10:15 p. m. GMT-5,Mamoncillo,Femenino,Moderadamente importante,Moderadamente importante,Muy importante,Moderadamente importante,Nada importante,Nada importante,Nada importante,Nada importante,Natural ,Jugosa,Es más bien mate,Sensación de consumo,"Ganas de comer, curiosidad","Ácido, pero muy delicioso. acido-rico","Mi infancia,  los viajes a la costa","Agradable, felicidad ","El tamaño, la acidez "
105,2023/10/05 2:12:55 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Poco importante,Importante,Nada importante,Nada importante,Importante,Nada importante,Fresco y jugoso,Fresca y jugosa,La intensidad del brillo es media y me provoca curiosidad probarlo,No tiene aroma característico,Es blando y jugoso,Es muy dulce y dan ganas de querer comer más ,Me recuerda a mi infancia,Me gusta,La frescura
106,2023/10/05 2:19:47 p. m. GMT-5,Mamoncillo,Masculino,Poco importante,Moderadamente importante,Moderadamente importante,Importante,Poco importante,Importante,Moderadamente importante,Poco importante,Pequeño y rugoso,Un color suave y agradable y consistencia gelatinosa,"Es un verde opaco, por el color pensaría q puede ser amargo como el limón ",Aroma suave pero agradable ,Tiene una textura suave y tenía juguito por dentro lo que lo hace muy rico,Un poco ácido pero soportable,Es una de las frutas que más comía cuando estaba pequeña así que me recuerda a mi infancia ,Una sensación agradable ,No muchas cosas solo lo compro 
107,2023/10/05 2:20:12 p. m. GMT-5,Mamoncillo,Femenino,Muy importante,Muy importante,Poco importante,Poco importante,Moderadamente importante,Moderadamente importante,Importante,Nada importante,Bueno ,Bueno,Manchas oscuras,Floral,Duro,"Dulce, astringente ",Infancia,No me gusta la sensación en los dientes,Color
108,2023/10/05 2:20:22 p. m. GMT-5,Mamoncillo,Masculino,Moderadamente importante,Importante,Poco importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Poco importante,Es duro pero se puede deformar es relativamente pequeño y es aspero,"Es suave, como gelatinoso, con una pepa dura en el medio","Pues la apariencia no es tan atractiva, tiene un color verde palido y es áspero ",Pues no le noto mucho olor,"Es gelatinosa y suave, un poco fibrosa","Es un sabor dulce, agradable al gusto y podría repetir","Me recuerda como a la uva pero con una sensación más fibrosa y es más dulce, el tamaño es similar","Pues es una fruta muy rica, dulce, pequeña, por fuera es duro y por dentro es suave y aguado","Que no estén abiertos, de tamaño bien, y el color verde característico "
109,2023/10/05 2:21:15 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Está un poco golpeada,"Tiene una presencia suave, color piel","No tiene brillo la parte externa, me dan ganas de abrirlo por lo que tiene apariencia de ser comestible internamente",Es dulce y amargo,Es sueve en la parte interna ,"Es dulce y amargo al probarlo, y astringente al final",Me recuerda a tierra caliente,Astringente al final,El fruto no debe presentar pudriciones
110,2023/10/05 2:21:38 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Muy importante,Nada importante,Algo clorotico,Buen aspecto,"Sin brillo, maltrato",Buen aroma,Exotico,Placer,Tropico,Ricura,Buen estado
111,2023/10/05 2:24:34 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Poco importante,"Opaco, deshidratado un poco ",Deshidratado ,"Sin brillo, color opaco",,,Ácido,"Mi papá, cuidado con la Pepa! ",Me gusta,"Frescura, que este bien jugoso "
112,2023/10/05 2:27:40 p. m. GMT-5,Mamoncillo,Masculino,Importante,Importante,Poco importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Nada importante,"Carrasposo, de tamaño normal, con algunas muestras de lesiones",Del color que uno espera para esa fruta,No tiene brillo,Un aroma suave a dulce y algo de ácido.,"El fruto tiene una textura como gelatinosa y fibrosa, es una sensación extraña pero agradable",Entre dulce y ácido.,Me recuerda a mi niñez,Comidad,"Que los frutos tengan un buen tamaño y se vean sanos, ningún olor que pueda indicar pudricion"
113,2023/10/05 2:31:00 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Nada importante,Importante,Poco importante,Moderadamente importante,Importante,Poco importante,"Se ve muy normal, la textura, el color y la firmeza",Es más claro de lo normal ,"Tiene poco color, usualmente son más verdes y nada de brillo",Ningún olor ,"No provoca ninguna sensación, la textura es un poco áspera y rugosa ","Un poco ácido y dulce a la vez, es muy normal ",Ninguna ,Ninguna ,"La firmeza del fruto sobre todo, y la tonalidad de la cáscara "
114,2023/10/05 2:35:22 p. m. GMT-5,Mamoncillo,Masculino,Poco importante,Poco importante,Moderadamente importante,Importante,Poco importante,Poco importante,Moderadamente importante,Poco importante,"Buena apariencia, buen sabor y agradable ","Buena apariencia, jugosa y buen sabor ","Color, brillante y llamativo ",Ninguno en particular ,Astringente al final del consumo ,"Dulce, agradable ",Infancia ,Agradable y dulce ,Cantidad de producto obtenido 
115,2023/10/05 2:35:30 p. m. GMT-5,Mamoncillo,Femenino,Moderadamente importante,Muy importante,Moderadamente importante,Muy importante,Poco importante,Poco importante,Importante,Poco importante,Algunos daños posiblemente  por plagas y color verde,Buena apariencia interna,Intensidad intermedia provoca sensación de que está sucio,No tiene un olor muy fuerte,Tiene una textura un poco aspera me provoca sensación agradable,Sabor dulce y me agrada,Niñez cuando iba de vacaciones a tierra caliente,Agradable,La firmeza y tamaño
116,2023/10/05 2:39:11 p. m. GMT-5,Mamoncillo,Femenino,Muy importante,Muy importante,Importante,Importante,Importante,Importante,Importante,Poco importante,Verdes algunos manchados con negro algunos aguados,"Suave, jugoso, baboso",Se ve masticable,Como ,Babosa,Esta rico,A mi infancia,Gusto,"Que s
Este bonito y grande"
117,2023/10/05 2:39:17 p. m. GMT-5,Mamoncillo,Femenino,Importante,Importante,Poco importante,Importante,Poco importante,Importante,Importante,Poco importante,"Firme, con manchas en la cáscara ","Esta bien, de color amarillo ",El dolor de la cáscara no está tan verde ,El aroma es agradable y normal ,Es suave,El sabor es muy agradable,Cuando era niñas comía esta fruta y es una de mis favoritas,Gusto y querer probar más ,Que esté bien redonda y de color verde claro 
118,2023/10/05 2:40:07 p. m. GMT-5,Mamoncillo,Masculino,Poco importante,Poco importante,Poco importante,Muy importante,Muy importante,Moderadamente importante,Muy importante,Poco importante,Manchas definidas de color oscuro,Suave y esponjoso ,"No aplica brillo, color opaco ",Fuerte,Agradable,Un sabor agradable,,Buena y agradable ,Frutos grandes y blanditos
119,2023/10/05 2:40:16 p. m. GMT-5,Mamoncillo,Femenino,Moderadamente importante,Importante,Poco importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,Buena ,Brillosa con pelos bonita ,"
No muy intenso y sin brillo ",Huele a naturaleza ,Suave la pepa es masticable ,Fresco dulce y un poco acido,Mi abuela ,Bastante buena ,Precio y madurez
120,2023/10/05 2:42:24 p. m. GMT-5,Mamoncillo,Masculino,Muy importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Se ve como con manchas de sol en la cáscara ,Se ven bastante apetitoso y fresco,Es poco brilloso por lo cual parece que no va a estar muy jugoso por dentro,Montarme un olor marcado,Es bastante suave y sedoso,Es dulce pero a la vez con un poco de acidez. Me gusta,Me recuerda visitas a fincas ,Me provoca gusto y me da ganas de comer más ,Que la cáscara se vea lo más verde y menos afectada por manchas
121,2023/10/05 5:45:52 p. m. GMT-5,Mamoncillo,Femenino,Poco importante,Importante,Importante,Importante,Poco importante,Importante,Muy importante,Moderadamente importante,Verde ,Amarillo y liso ,Opaca,A una hoja,Medio suave medio seco ,Dulce y amargo ,Ninguna ,Medio viscoso ,Nunca he comprado 
122,2023/10/05 1:38:58 p. m. GMT-5,Zapote,Masculino,Poco importante,Poco importante,Poco importante,Moderadamente importante,Poco importante,Poco importante,Moderadamente importante,Poco importante,Muy maduro ,Muy blando,"Un verdoso no tan brillante, me dan ganas de aplastarlo ",No me huele a nada,"Biscozo, placer ",Dulce ,A mi familia comiendo ,Nada,Ninguno 
123,2023/10/05 1:45:05 p. m. GMT-5,Zapote,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,"Tamaño pequeño, textura corrugosa","Fruto pequeño, jugoso ","Color fuerte, opaco","Olor intenso, produce frescura ",Textura corrugusa,"Sabor agradable, fuerte y produce frescura",Cuando compartíamos en el colegio a la hora de los descansos ,Agradable ,"Color, precio"
124,2023/10/05 1:48:54 p. m. GMT-5,Zapote,Masculino,¿Qué tan importante es para ti el color del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la apariencia del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el aroma del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la textura y firmeza del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el tamaño del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el estado de madurez del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el precio en relación a la calidad del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el origen del fruto al momento de comprarlos en el mercado?,Describe el estado general del fruto (Apariencia externa),Describe el estado general del fruto (Apariencia interna),Describe la intensidad de color y brillo de la cáscara (si aplica el brillo) y lo que te provoca al verlo,Describe el aroma del producto y lo que te produce el producto al momento de olerlo,Descripción de la textura del producto y la sensación que te provoca,Describe el sabor y lo que te provoca el sabor,¿Qué remembranza te provoca la fruta? (remembranza: recuerdos),¿Que sensación te provoca la fruta? (A nivel general),Describe que criterios tienes al momento de adquirir este producto en un lugar de mercado
125,2023/10/05 1:49:22 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,"Se ve fresco, brillante, atractivo",,"Muy brillante, atractiva para comer",Inoloro,"Se ve firme, da gusto verlo",Esta rico,"Poco, casi no la había probado antes","Gusto, expectativa",Color y frescura
126,2023/10/05 1:49:40 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Muy importante,Moderadamente importante,Moderadamente importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Grande y duro con cáscara gruesa ,Carnoso peludo con pepa grande,Naranja fuerte muy brillante me provoca comer ,Aroma a tierra ,Cernoso con pelos provoca morder ,Sabor dulce y dan ganas de hacer un jugo ,Neiva ,Me provoca hacer un jugo ,Tamaño precio y madures 
127,2023/10/05 1:49:42 p. m. GMT-5,Zapote,Masculino,Importante,Importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Moderadamente importante,Se ve bien ,Jugoso,Color apagado,Huele bien ,Suave,Sabe bien,Ninguno,Está rico,No lo compro 
128,2023/10/05 1:51:53 p. m. GMT-5,Zapote,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante, Firme buen color , Naranja intensoñ, Naranja brillo alto , Aromatico,Algodonosa ,Agridulce ,Animo,Placer, Color olor 
